url,page,title,store,brand,tech,size,resolution,price
https://www.walmart.com/ip/Supersonic-SC-1311-13-3-720p-LED-TV/54596354,3,"Supersonic SC-1311 13.3"" 720p LED TV",Walmart,SUPERSONIC,LED,13.3,720p,$96.90
https://www.walmart.com/ip/Supersonic-SC-1311-13-3-720p-LED-LCD-TV-16-9-HDTV-ATSC-90-deg-45-deg-1366-x-768-USB/158168344,11,"Supersonic SC-1311 13.3"" 720p LED-LCD TV - 16:9 - HDTV - ATSC - 90° / 45° - 1366 x 768 - USB",Walmart,SUPERSONIC,LED,13.3,720p,$104.32
https://www.walmart.com/ip/Axess-13-3-Class-HD-720P-LED-TV-with-Built-in-DVD-TVD1801-13/41051347,4,"Axess 13.3"" Class HD (720P) LED TV with Built-in DVD (TVD1801-13)",Walmart,AXESS,LED,13.3,720p,$127.77
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-SC-612-HDTV-Flat-Digital-Antenna/55844187,9,"Supersonic 13.3"" Class - HD LED TV - 720p, 60Hz (SC-1311) and SC-612 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$134.71
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-SC-611-HDTV-Flat-Digital-Antenna/55844201,11,"Supersonic 13.3"" Class - HD LED TV - 720p, 60Hz (SC-1311) and SC-611 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$146.83
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-Mohu-Leaf-50-HDTV-Antenna/55581349,10,"Supersonic 13.3"" Class - HD, LED TV - 720p, 60Hz (SC-1311) and Mohu Leaf 50 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$150.72
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-720p-60Hz-SC-1311-and-Mohu-Leaf-30-HDTV-Antenna/55581335,10,"Supersonic 13.3"" Class - HD, LED TV - 720p, 60Hz (SC-1311) and Mohu Leaf 30 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$158.01
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combo-720p-60Hz-SC-1312-and-SC-611-HDTV-Flat-Digital-Antenna/55844202,8,"Supersonic 13.3"" Class - HD LED TV/DVD Combo - 720p, 60Hz (SC-1312) and SC-611 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$177.77
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combination-720p-60Hz-SC-1312-and-Mohu-Leaf-30-HDTV-Antenna/55581336,11,"Supersonic 13.3"" Class - HD, LED TV/DVD Combination - 720p, 60Hz (SC-1312) and Mohu Leaf 30 HDTV Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$181.07
https://www.walmart.com/ip/Supersonic-13-3-Class-HD-LED-TV-DVD-Combo-720p-60Hz-SC-1312-and-SC-612-HDTV-Flat-Digital-Antenna/55844188,11,"Supersonic 13.3"" Class - HD LED TV/DVD Combo - 720p, 60Hz (SC-1312) and SC-612 HDTV Flat Digital Antenna",Walmart,SUPERSONIC,LED,13.3,720p,$184.55
